Attribute number ,Brand,Model,Model Version,Year,Price (₹),Engine Capacity (cc),Power (hp),Torque (Nm),Top Speed (km/h),Fuel Type,Electric,Transmission Type,ABS,Fuel Tank Capacity (litres),Mileage (kmpl or km/charge),Weight (kg),Type,Country of Origin,Launch Year,Emission Standard,Wheel Type,Cooling Type,Braking System,Battery Capacity (kWh),Range per Charge (km),Charging Time (hours),Length (mm),Width (mm),Height (mm),Seat Height (mm),Seat Type,Wheelbase (mm),Max Power (bhp),Max Power (hp),Max Power (kW),Engine Displacement (cc),Engine Cylinders,Ignition System,Transmission,CO2 (g/km),Max Torque (Nm),Where Available,First Available Date/Release Date,Engine Compression Ratio,Acceleration 0-100 km/h (s),Top Speed (kmph),Storage,Warranty (y),Conclude Date
N405,Suzuki,Gixxer SF,250 ABS,2021,13580.6666666667,279.114164808309,11.0872060006001,19.9293653165317,102.513579357936,Petrol,No,Automatic,Yes,10.589767261564,78.6352655265527,134.70301230123,Commuter,Japan,2019.75731773177,BS8,Alloy,Air,Disc/Drum,3.1001067084072,158.178773272252,3.87425971209276,1848.13725490196,28356.4956495649,1100,,Single,—,—,—,—,—,—,—,Manual,—,207.219683251547,TW,3/21/2021,,—,—,No,—,6/9/2021
D406,Harley-Davidson,Iron 883,Custom,2020,4154.66666666669,278.819142608266,11.0806150615061,19.9162449444945,102.521884188419,Electric,Yes,Automatic,No,10.5852087338735,78.5647164716472,134.728760876088,Commuter,China,2019.75506750675,,Spoke,Liquid,Disc,3.09951504644577,158.316318247751,3.87155202962112,1849.11764705882,28450.804080408,1100,584,Single,—,—,—,—,—,—,—,Manual,—,208.703895768041,TW,3/22/2021,16:05,,—,—,,6/10/2021
O407,BMW,S 1000 RR,Pro M Sport,2020,$108097,278.524120408222,11.0740241224122,19.9031245724573,102.530189018902,Electric,Yes,Automatic,No,10.580650206183,78.4941674167417,134.754509450945,Sport,Austria,2019.75281728173,,Alloy,Oil,Disc/Drum,3.09892338448435,158.45386322325,3.86884434714948,1850.09803921569,28545.1125112511,1100,562,Single,—,—,—,—,—,100.&12,—,Manual,—,210.188108284535,TW,3/23/2021,36:78/+102,-13.3333333333333,—,Underseat compartment,—,6/11/2021
N408,Harley-Davidson,Iron 883,Custom,2019,-25641.2985012854,278.229098208179,11.0674331833183,19.8900042004201,102.538493849385,Petrol,No,Manual,No,10.5760916784926,78.4236183618362,134.780258025803,Cruiser,Austria,2019.75056705671,Euro5,Spoke,Air,Drum,3.09833172252292,158.591408198749,3.86613666467783,1851.07843137255,28639.4209420942,1100,—,Single,—,—,—,—,—,—,—,Manual,—,211.672320801029,TW,3/24/2021,1.254861111,-16.8333333333333,—,Underseat compartment,41,6/12/2021
D409,Royal Enfield,Himalayan,Standard,2020,-26543.9364763484,277.934076008136,11.0608422442244,19.8768838283829,102.546798679868,Electric,Yes,Automatic,Yes,10.5715331508021,78.3530693069307,134.80600660066,Scooter,Japan,2019.74831683168,,Alloy,Air,Disc/Drum,3.09774006056149,158.728953174248,3.86342898220619,1852.05882352941,28733.7293729373,1100,,Single,—,—,—,—,—,9.6,—,Manual,100,213.156533317522,TW,3/25/2021,—,-20.3333333333333,—,Yes,43.5,6/13/2021
O410,Harley-Davidson,Street 750,Standard,2018,-27446.5744514104,277.639053808093,11.0542513051305,19.8637634563456,102.555103510351,Electric,Yes,Automatic,Yes,10.5669746231117,78.2825202520253,134.831755175518,Cruiser,Austria,2019.74606660666,,Alloy,Liquid,Disc/Drum,3.09714839860006,158.866498149747,3.86072129973455,1853.03921568627,28828.0378037803,1100,540,Single,—,—,—,—,—,—,—,Manual,—,214.640745834016,TW,3/26/2021,,—,—,No,46,6/14/2021
N411,Hero,Splendor Plus,i3S,2020,-28349.2124264734,277.34403160805,11.0476603660366,19.8506430843084,102.563408340834,Electric,Yes,Automatic,No,10.5624160954212,78.2119711971198,134.857503750375,Sport,China,2019.74381638164,,Spoke,Liquid,Disc,3.09655673663863,159.004043125246,3.85801361726291,1854.01960784314,28922.3462346234,1100,518,Single,2122.5,-5.33333333333333,—,—,—,5.%11,—,Manual,—,216.12495835051,TW,3/27/2021,17:05,10/7:9,—,—,48.5,—
D412,Bajaj,Pulsar 150,Twin Disc,2020,-29251.8504015354,277.049009408006,11.0410694269427,19.8375227122712,102.571713171317,Electric,Yes,Automatic,Yes,10.5578575677307,78.1414221422143,134.883252325232,Sport,Austria,2019.74156615662,,Spoke,Air,Drum,3.0959650746772,159.141588100745,3.85530593479126,1855,29016.6546654665,1100,—,Single,2130,-6.43333333333333,—,—,—,—,—,Manual,-531.55,217.609170867004,TW,3/28/2021,36:78/+103,—,—,Underseat compartment,—,5/28/2021
O413,Yamaha,FZ-S FI,Version 3.0,2021,-30154.4883765984,276.753987207963,11.0344784878488,19.824402340234,102.5800180018,Petrol,No,Automatic,Yes,10.5532990400403,78.0708730873088,134.90900090009,Commuter,India,2019.73931593159,Euro5,Spoke,Air,Disc/Drum,3.09537341271578,159.279133076244,3.85259825231962,1855.98039215686,29110.9630963096,1100,,Single,2137.5,-7.53333333333333,—,—,—,—,—,Manual,-582.4,219.093383383498,TW,—,5.254861111,,—,Underseat compartment,,5/29/2021
N414,Bajaj,Dominar 400,ABS,2022,-31057.1263516604,276.45896500792,11.0278875487549,19.8112819681968,102.588322832283,Electric,Yes,Automatic,No,10.5487405123498,78.0003240324033,134.934749474947,Cruiser,China,2019.73706570657,,Spoke,Oil,Disc,3.09478175075435,159.416678051743,3.84989056984798,1856.96078431373,29205.2715271527,1100,496,Single,2145,—,—,—,—,100.&13,—,Manual,-633.25,220.577595899991,TW,,—,1.66666666666667,—,Yes,—,5/30/2021
D415,Yamaha,R15 V4,Racing Blue,2021,-31959.7643267234,276.163942807877,11.021296609661,19.7981615961596,102.596627662766,Petrol,No,Automatic,No,10.5441819846594,77.9297749774978,134.960498049805,Adventure,Austria,2019.73481548155,BS6,Alloy,Liquid,Drum,3.09419008879292,159.554223027242,3.84718288737633,1857.94117647059,29299.5799579958,1100,474,Single,2152.5,—,—,—,—,—,—,Manual,-684.1,222.061808416485,TW,—,,-0.333333333333332,—,No,51,5/31/2021
O416,Royal Enfield,Meteor 350,Fireball,2023,-32862.4023017854,275.868920607834,11.0147056705671,19.7850412241224,102.604932493249,Petrol,No,Manual,No,10.5396234569689,77.8592259225923,134.986246624662,Cruiser,India,2019.73256525653,BS6,Alloy,Air,Disc,3.09359842683149,159.691768002741,3.84447520490469,1858.92156862745,29393.8883888389,1100,—,Single,2160,—,-5.33333333333333,—,—,10.6,—,Manual,—,223.546020932979,TW,,18:05,-2.33333333333333,—,—,53.5,6/1/2021
N417,BMW,G 310 R,ABS,2020,-33765.0402768484,275.57389840779,11.0081147314731,19.7719208520852,102.613237323732,Electric,Yes,Automatic,Yes,10.5350649292784,77.7886768676868,135.01199519952,Cruiser,Japan,2019.7303150315,,Alloy,Liquid,Disc,3.09300676487006,159.82931297824,3.84176752243305,1859.90196078431,29488.1968196819,1100,,Single,2167.5,—,-6.43333333333333,—,—,—,—,—,—,225.030233449473,TW,4/16/2021,36:78/+104,—,—,Underseat compartment,56,—
D418,Kawasaki,Z650,BS6,2023,-34667.6782519104,275.278876207747,11.0015237923792,19.758800480048,102.621542154215,Electric,Yes,Automatic,No,10.530506401588,77.7181278127813,135.037743774377,Sport,India,2019.72806480648,,Alloy,Air,Drum,3.09241510290864,159.966857953739,3.8390598399614,—,29582.505250525,1100,452,Single,2175,—,-7.53333333333333,—,—,5.%12,—,,—,226.514445965967,TW,4/17/2021,6.254861111,10/7:10,—,Underseat compartment,58.5,
O419,TVS,Apache RR 310,BTO Kit,2023,-35570.3162269734,274.983854007704,10.9949328532853,19.7456801080108,102.629846984698,Electric,Yes,Automatic,Yes,10.5259478738975,77.6475787578758,135.063492349235,Cruiser,Japan,2019.72581458146,,Spoke,Liquid,Disc,3.09182344094721,160.104402929238,3.83635215748976,—,29676.8136813681,1100,430,Single,2182.5,—,—,-7.29,—,—,—,—,—,227.99865848246,TW,4/18/2021,—,—,—,Yes,—,—
N420,BMW,S 1000 RR,Pro M Sport,2023,-36472.9542020354,274.688831807661,10.9883419141914,19.7325597359736,102.638151815182,Electric,Yes,Automatic,Yes,10.5213893462071,77.5770297029703,135.089240924092,Cruiser,Japan,2019.72356435644,,Spoke,Liquid,Disc,3.09123177898578,160.241947904737,3.83364447501812,—,29771.1221122112,1100,—,Single,2190,—,—,-8.79,—,—,—,Automatic,—,229.482870998954,TW,4/19/2021,,,—,No,,
D421,KTM,RC 200,GP Edition,2023,-37375.5921770984,274.393809607617,10.9817509750975,19.7194393639364,102.646456645665,Petrol,No,Manual,No,10.5168308185166,77.5064806480649,135.11498949895,Scooter,Austria,2019.72131413141,BS6,Spoke,Oil,Drum,3.09064011702435,160.379492880236,3.83093679254647,—,29865.4305430543,1100,,Single,2197.5,—,—,-10.29,—,100.&14,—,Automatic,101,230.967083515448,TW,4/20/2021,19:05,16.6666666666667,—,—,—,6/15/2021
O422,Harley-Davidson,Iron 883,Custom,2017,-38278.2301521614,274.098787407574,10.9751600360036,19.7063189918992,102.654761476148,Petrol,No,Manual,Yes,10.5122722908261,77.4359315931594,135.140738073807,Cruiser,Japan,2019.71906390639,BS4,Spoke,Liquid,Drum,3.09004845506292,160.517037855735,3.82822911007483,—,29959.7389738974,1100,408,Single,2205,—,-0.604285714285713,—,—,—,—,Manual,—,232.451296031942,TW,4/21/2021,36:78/+105,16.1666666666667,—,Underseat compartment,61,6/16/2021
N423,Honda,CB350,DLX Pro,2022,-39180.8681272234,273.803765207531,10.9685690969097,19.693198619862,102.663066306631,Petrol,No,Manual,Yes,10.5077137631357,77.3653825382539,135.166486648665,Commuter,China,2019.71681368137,BS6,Alloy,Liquid,Disc,3.0894567931015,160.654582831234,3.82552142760319,—,30054.0474047404,1100,386,Single,2212.5,—,-0.947142857142863,—,—,11.6,—,Manual,—,233.935508548436,TW,—,4.254861111,15.6666666666667,—,Underseat compartment,63.5,6/17/2021
D424,Royal Enfield,Meteor 350,Fireball,2023,-40083.5061022864,273.508743007488,10.9619781578158,19.6800782478248,102.671371137114,Electric,Yes,Automatic,No,10.5031552354452,77.2948334833484,135.192235223522,Adventure,Japan,2019.71456345635,,Alloy,Oil,Disc/Drum,3.08886513114007,160.792127806733,3.82281374513154,—,30148.3558355835,1100,—,Single,2220,—,-1.29,—,—,—,—,Manual,-867.9,235.419721064929,TW,,—,—,—,Yes,66,6/18/2021
O425,KTM,Duke 390,BS6,2023,-40986.1440773484,273.213720807445,10.9553872187219,19.6669578757876,102.679675967597,Electric,Yes,Automatic,No,10.4985967077548,77.2242844284429,135.21798379838,Sport,India,2019.71231323132,,Spoke,Air,Disc/Drum,3.08827346917864,160.929672782232,3.8201060626599,—,30242.6642664266,1100,,Single,2227.5,—,-1.63285714285714,—,—,5.%13,—,Manual,-944.7,236.903933581423,TW,—,,10/7:11,—,No,68.5,6/19/2021
N426,Yamaha,FZ-S FI,Version 3.0,2020,-41888.7820524114,272.918698607401,10.948796279628,19.6538375037504,102.68798079808,Electric,Yes,Automatic,No,10.4940381800643,77.1537353735374,135.243732373237,Scooter,Austria,2019.7100630063,,Spoke,Oil,Drum,3.08768180721721,161.067217757731,3.81739838018826,—,30336.9726972697,—,364,Single,2235,—,-1.97571428571429,—,—,—,—,Manual,-1021.5,238.388146097917,TW,,20:05,—,—,—,—,6/20/2021
D427,Bajaj,Pulsar 150,Twin Disc,2018,-42791.4200274734,272.623676407358,10.9422053405341,19.6407171317132,102.696285628563,Petrol,No,Automatic,No,10.4894796523738,77.0831863186319,135.269480948095,Sport,China,2019.70781278128,Euro5,Spoke,Air,Disc,3.08709014525578,161.20476273323,3.81469069771661,—,30431.2811281128,—,342,Single,2242.5,—,-2.31857142857143,-24.0317156848779,—,—,—,Manual,-1098.3,239.872358614411,TW,4/22/2021,36:78/+106,,—,Underseat compartment,,—
O428,BMW,S 1000 RR,Pro M Sport,2023,-43694.0580025364,272.328654207315,10.9356144014401,19.627596759676,102.704590459046,Electric,Yes,Automatic,Yes,10.4849211246834,77.0126372637264,135.295229522952,Sport,China,2019.70556255626,,Spoke,Oil,Disc/Drum,3.08649848329436,161.342307708728,3.81198301524497,—,30525.5895589559,—,—,Single,2250,—,—,-24.6512745083764,—,100.&15,—,Manual,—,241.356571130905,TW,4/23/2021,5.254861111,31.6666666666667,—,Underseat compartment,—,6/2/2021
N429,Royal Enfield,Himalayan,Standard,2020,-44596.6959775984,272.033632007272,10.9290234623462,19.6144763876388,102.712895289529,Electric,Yes,Automatic,No,10.4803625969929,76.9420882088209,135.32097809781,Scooter,Austria,2019.70331233123,,Spoke,Liquid,Drum,3.08590682133293,161.479852684227,3.80927533277333,—,30619.8979897989,—,,Single,2257.5,—,—,-25.270833331875,—,—,—,Manual,—,242.840783647398,TW,4/24/2021,—,32.6666666666667,—,Yes,71,6/3/2021
D430,TVS,Apache RR 310,BTO Kit,2022,-45499.3339526614,271.738609807228,10.9224325232523,19.6013560156016,102.721200120012,Electric,Yes,Automatic,Yes,10.4758040693025,76.8715391539154,135.346726672667,Commuter,Austria,2019.70106210621,,Spoke,Air,Disc,3.0853151593715,161.617397659726,3.80656765030169,—,30714.206420642,—,320,Single,2265,—,—,-25.8903921553735,—,12.6,—,Manual,—,244.324996163892,TW,4/25/2021,,33.6666666666667,—,No,73.5,6/4/2021
O431,Kawasaki,Z650,BS6,2020,-46401.9719277234,271.443587607185,10.9158415841584,19.5882356435644,102.729504950495,Electric,Yes,Automatic,No,10.471245541612,76.80099009901,135.372475247525,Commuter,China,2019.69881188119,,Spoke,Air,Disc/Drum,3.08472349741007,161.754942635225,3.80385996783004,—,30808.5148514851,—,298,Single,2272.5,—,—,-26.509950978872,—,—,—,Manual,—,245.809208680386,TW,4/26/2021,21:05,—,—,—,76,6/5/2021
N432,Yamaha,R15 V4,Racing Blue,2021,-47304.6099027864,271.148565407142,10.9092506450645,19.5751152715272,102.737809780978,Electric,Yes,Automatic,No,10.4666870139215,76.7304410441045,135.398223822382,Commuter,India,2019.69656165617,,Alloy,Oil,Disc/Drum,3.08413183544864,161.892487610724,3.8011522853584,—,30902.8232823282,—,—,Single,2280,—,—,-27.1295098023705,—,5.%14,—,Manual,—,247.29342119688,TW,4/27/2021,36:78/+107,10/7:12,—,Underseat compartment,78.5,6/6/2021
D433,KTM,Duke 390,BS6,2022,-48207.2478778484,270.853543207099,10.9026597059706,19.56199489949,102.746114611461,Electric,Yes,Automatic,No,10.4621284862311,76.659891989199,135.42397239724,Commuter,Japan,2019.69431143114,,Spoke,Liquid,Disc/Drum,3.08354017348721,162.030032586223,3.79844460288676,—,30997.1317131713,—,,Single,2287.5,—,—,-27.7490686258691,—,—,—,Manual,102,248.777633713374,TW,—,9.254861111,—,—,Underseat compartment,—,—
O434,TVS,Apache RTR 160 4V,Disc,2021,-49109.8858529114,270.558521007056,10.8960687668767,19.5488745274528,102.754419441944,Electric,Yes,Automatic,Yes,10.4575699585406,76.5893429342935,135.449720972097,Adventure,India,2019.69206120612,,Spoke,Oil,Disc,3.08294851152579,162.167577561722,3.79573692041511,—,31091.4401440144,—,276,Single,2295,—,—,-28.3686274493676,—,—,—,Manual,—,250.261846229867,TW,,—,,—,Yes,,
N435,Kawasaki,Z650,BS6,2021,-50012.5238279734,270.263498807012,10.8894778277828,19.5357541554156,102.762724272427,Electric,Yes,Automatic,No,10.4530114308502,76.518793879388,135.475469546955,Cruiser,Austria,2019.6898109811,,Alloy,Oil,Disc,3.08235684956436,162.305122537221,3.79302923794347,—,31185.7485748575,—,254,Single,2302.5,—,—,-28.9881862728661,—,100.&16,—,—,—,251.746058746361,TW,—,,46.6666666666667,—,No,—,—
D436,Honda,CB350,DLX Pro,2022,-50915.1618030364,269.968476606969,10.8828868886889,19.5226337833784,102.77102910291,Electric,Yes,Automatic,No,10.4484529031597,76.4482448244825,135.501218121812,Adventure,Austria,2019.68756075608,,Alloy,Liquid,Disc/Drum,3.08176518760293,162.44266751272,3.79032155547183,—,31280.0570057005,—,—,Single,2310,—,—,-29.6077450963647,—,—,—,,-1204.25,253.230271262855,TW,,22:05,49.1666666666667,—,—,81,
O437,TVS,Apache RTR 160 4V,Disc,2022,-51817.7997780984,269.673454406926,10.876295949595,19.5095134113411,102.779333933393,Electric,Yes,Automatic,Yes,10.4438943754692,76.377695769577,135.52696669667,Adventure,China,2019.68531053105,,Alloy,Air,Drum,3.0811735256415,162.580212488219,3.78761387300018,—,31374.3654365436,—,,Single,2317.5,—,—,-30.2273039198632,—,13.6,—,—,-1307,254.714483779349,TW,4/28/2021,36:78/+108,51.6666666666667,—,Underseat compartment,83.5,6/21/2021
N438,Honda,CB350,DLX Pro,2023,-52720.4377531614,269.378432206883,10.869705010501,19.4963930393039,102.787638763876,Electric,Yes,Automatic,Yes,10.4393358477788,76.3071467146715,135.552715271527,Commuter,Japan,2019.68306030603,,Spoke,Air,Disc,3.08058186368007,162.717757463718,3.78490619052854,—,31468.6738673867,—,232,Single,2325,—,—,-30.8468627433617,—,—,—,Automatic,-1409.75,256.198696295843,TW,4/29/2021,10.254861111,—,—,Underseat compartment,86,6/22/2021
D439,Hero,Xtreme 160R,Stealth Edition,2022,-53623.0757282234,269.083410006839,10.8631140714071,19.4832726672667,102.795943594359,Electric,Yes,Automatic,No,10.4347773200883,76.236597659766,135.578463846385,Commuter,India,2019.68081008101,,Alloy,Liquid,Drum,3.07999020171865,162.855302439217,3.7821985080569,—,31562.9822982298,—,210,Single,2332.5,—,—,-31.4664215668603,—,5.%15,—,Automatic,-1512.5,257.682908812336,TW,4/30/2021,—,10/7:13,—,Yes,88.5,6/23/2021
O440,Royal Enfield,Himalayan,Standard,2021,-54525.7137032864,268.788387806796,10.8565231323132,19.4701522952295,102.804248424842,Petrol,No,Automatic,Yes,10.4302187923979,76.1660486048605,135.604212421242,Commuter,Austria,2019.67855985599,Euro5,Alloy,Air,Disc/Drum,3.07939853975722,162.992847414716,3.77949082558525,—,31657.2907290729,—,—,Double,2340,—,—,-32.0859803903588,—,—,—,Manual,—,259.16712132883,TW,5/1/2021,,—,—,No,—,6/24/2021
N441,Bajaj,Pulsar 150,Twin Disc,2018,-55428.3516783484,268.493365606753,10.8499321932193,19.4570319231923,102.812553255326,Electric,Yes,Automatic,Yes,10.4256602647074,76.095499549955,135.6299609961,Adventure,Austria,2019.67630963096,,Spoke,Air,Disc,3.07880687779579,163.130392390215,3.77678314311361,—,31751.599159916,—,,double,2347.5,—,—,-32.7055392138573,—,—,—,Manual,—,260.651333845324,TW,5/2/2021,23:05,,—,—,,6/25/2021
D442,KTM,RC 200,GP Edition,2021,-56330.9896534114,268.198343406709,10.8433412541254,19.4439115511551,102.820858085809,Petrol,No,Automatic,No,10.4211017370169,76.0249504950496,135.655709570957,Commuter,Japan,2019.67405940594,Euro5,Spoke,Oil,Disc,3.07821521583436,163.267937365714,3.77407546064197,—,31845.907590759,—,188,—,2355,—,—,-33.3250980373558,—,100.&17,—,Manual,—,262.135546361818,TW,5/3/2021,36:78/+109,61.6666666666667,—,Underseat compartment,—,6/26/2021
O443,Hero,Xtreme 160R,Stealth Edition,2020,-57233.6276284734,267.903321206666,10.8367503150315,19.4307911791179,102.829162916292,Electric,Yes,Automatic,No,10.4165432093265,75.9544014401441,135.681458145815,Sport,Austria,2019.67180918092,,Alloy,Liquid,Disc/Drum,3.07762355387293,163.405482341213,3.77136777817032,—,31940.2160216021,—,166,,2362.5,—,—,—,—,—,—,Manual,—,—,TW,—,8.254861111,65.6666666666667,—,Underseat compartment,91,—
N444,Kawasaki,Z650,BS6,2023,-58136.2656035364,267.608299006623,10.8301593759376,19.4176708070807,102.837467746775,Electric,Yes,Automatic,Yes,10.411984681636,75.8838523852386,135.707206720672,Adventure,Japan,2019.6695589559,,Spoke,Oil,Drum,3.07703189191151,163.543027316712,3.76866009569868,—,32034.5244524452,—,—,Single,2370,—,—,—,—,14.6,—,Manual,—,—,TW,,—,69.6666666666667,—,Yes,93.5,6/7/2021
D445,Kawasaki,Ninja 300,KRT Edition,2022,-59038.9035785984,267.31327680658,10.8235684368437,19.4045504350435,102.845772577258,Petrol,No,Manual,Yes,10.4074261539456,75.8133033303331,135.73295529553,Adventure,Japan,2019.66730873087,Euro5,Alloy,Oil,Drum,3.07644022995008,163.680572292211,3.76595241322704,—,32128.8328832883,—,,Single,2377.5,—,—,—,—,—,—,Manual,106,—,TW,—,,—,—,No,96,6/8/2021
O446,Harley-Davidson,Street 750,Standard,2018,-59941.5415536614,267.018254606536,10.8169774977498,19.3914300630063,102.854077407741,Electric,Yes,Automatic,No,10.4028676262551,75.7427542754276,135.758703870387,Scooter,China,2019.66505850585,,Alloy,Air,Disc,3.07584856798865,163.81811726771,3.76324473075539,—,32223.1413141314,—,144,Double,2385,—,—,—,—,5.%16,—,Manual,—,—,TW,,0:05,10/7:14,—,—,98.5,6/9/2021
N447,Bajaj,Pulsar 150,Twin Disc,2019,-60844.1795287234,266.723232406493,10.8103865586559,19.3783096909691,102.862382238224,Petrol,No,Manual,Yes,10.3983090985646,75.6722052205221,135.784452445244,Adventure,Austria,2019.66280828083,Euro5,Spoke,Air,Drum,3.07525690602722,163.955662243209,3.76053704828375,—,32317.4497449745,—,122,double,2392.5,—,—,—,—,—,—,Manual,—,—,TW,5/4/2021,36:78/+110,—,—,Underseat compartment,—,6/10/2021
D448,Hero,Splendor Plus,i3S,2021,-61746.8175037864,266.42821020645,10.803795619562,19.3651893189319,102.870687068707,Electric,Yes,Automatic,Yes,10.3937505708742,75.6016561656166,135.810201020102,Cruiser,Austria,2019.66055805581,,Spoke,Liquid,Disc,3.07466524406579,164.093207218708,3.75782936581211,—,32411.7581758176,—,—,—,2400,—,—,—,—,—,—,Manual,-1540.6,—,TW,5/5/2021,12.254861111,,—,Underseat compartment,,6/11/2021
O449,Harley-Davidson,Iron 883,Custom,2018,-62649.4554788494,266.133188006407,10.797204680468,19.3520689468947,102.87899189919,Electric,Yes,Automatic,No,10.3891920431837,75.5311071107111,135.835949594959,Adventure,Japan,2019.65830783078,,Spoke,Air,Drum,3.07407358210436,164.230752194207,3.75512168334047,—,32506.0666066606,—,,,—,—,—,—,—,100.&18,—,Manual,-1669.3,—,TW,5/6/2021,—,76.6666666666667,—,Yes,—,—
N450,Bajaj,Dominar 400,ABS,2019,-63552.0934539114,265.838165806364,10.7906137413741,19.3389485748575,102.887296729673,Electric,Yes,Automatic,Yes,10.3846335154933,75.4605580558056,135.861698169817,Cruiser,Austria,2019.65605760576,,Alloy,Liquid,Drum,3.07348192014294,164.368297169706,3.75241400086882,—,32600.3750375037,—,100,Single,—,—,—,—,—,—,—,Manual,-1798,—,TW,5/7/2021,,82.1666666666667,—,No,101,
D451,TVS,Apache RTR 160 4V,Disc,2021,-64454.7314289744,265.54314360632,10.7840228022802,19.3258282028203,102.895601560156,Petrol,No,Automatic,Yes,10.3800749878028,75.3900090009001,135.887446744674,Scooter,Japan,2019.65380738074,Euro5,Spoke,Air,Disc,3.07289025818151,164.505842145205,3.74970631839718,—,32694.6834683468,—,78,Single,—,—,—,—,—,15.6,—,Manual,-1926.7,—,TW,5/8/2021,1:05,87.6666666666667,—,—,103.5,—
O452,Hero,Splendor Plus,i3S,2023,-65357.3694040364,265.248121406278,10.7774318631863,19.3127078307831,102.903906390639,Electric,Yes,Automatic,No,10.3755164601123,75.3194599459947,135.913195319532,Adventure,Austria,2019.65155715572,,Alloy,Liquid,Disc,3.07229859622008,164.643387120704,3.74699863592554,—,32788.9918991899,—,—,Double,—,—,—,—,—,—,—,Manual,—,—,TW,5/9/2021,36:78/+111,—,—,Underseat compartment,106,
N453,BMW,S 1000 RR,Pro M Sport,2023,-66260.0073790994,264.953099206234,10.7708409240924,19.2995874587459,102.912211221122,Electric,Yes,Automatic,Yes,10.3709579324219,75.2489108910892,135.938943894389,Commuter,China,2019.64930693069,,Spoke,Oil,Disc/Drum,3.07170693425865,164.780932096202,3.74429095345389,—,32883.300330033,—,,double,—,—,—,—,—,5.%17,—,—,—,—,TW,—,13.25486111,10/7:15,—,Underseat compartment,108.5,6/27/2021
D454,Bajaj,Pulsar 150,Twin Disc,2021,-67162.6453541614,264.658077006191,10.7642499849985,19.2864670867087,102.920516051605,Electric,Yes,Automatic,No,10.3663994047314,75.1783618361837,135.964692469247,Sport,Austria,2019.64705670567,,Alloy,Liquid,Disc/Drum,3.07111527229723,164.918477071701,3.74158327098225,—,32977.6087608761,—,56,—,—,—,—,—,—,—,—,,—,—,TW,,—,—,—,Yes,—,6/28/2021
O455,TVS,Apache RTR 160 4V,Disc,2022,-68065.2833292244,264.363054806149,10.7576590459046,19.2733467146715,102.928820882088,Petrol,No,Manual,No,10.361840877041,75.1078127812782,135.990441044104,Commuter,Austria,2019.64480648065,BS6,Alloy,Liquid,Disc,3.0705236103358,165.0560220472,3.73887558851061,—,33071.9171917191,—,34,,—,—,—,—,—,—,—,—,—,—,TW,—,,,—,No,,6/29/2021
N456,Royal Enfield,Meteor 350,Fireball,2020,-68967.9213042864,264.068032606104,10.7510681068107,19.2602263426343,102.937125712571,Petrol,No,Automatic,No,10.3572823493505,75.0372637263727,136.016189618962,Commuter,China,2019.64255625563,BS6,Spoke,Oil,Disc/Drum,3.06993194837437,165.193567022699,3.73616790603896,—,33166.2256225622,—,—,Single,—,—,—,—,—,100.&19,—,Automatic,—,—,TW,,2:05,91.6666666666667,—,—,—,6/30/2021
D457,Bajaj,Dominar 400,ABS,2021,-69870.5592793494,263.773010406061,10.7444771677168,19.2471059705971,102.945430543054,Electric,Yes,Automatic,Yes,10.35272382166,74.9667146714672,136.041938193819,Commuter,Austria,2019.6403060306,,Alloy,Oil,Drum,3.06934028641294,165.331111998198,3.73346022356732,—,33260.5340534053,—,,Single,—,—,—,—,—,—,—,Automatic,107,—,TW,5/10/2021,36:78/+112,98.6666666666667,—,Underseat compartment,111,7/1/2021
O458,Bajaj,Pulsar 150,Twin Disc,2019,-70773.1972544114,263.477988206018,10.7378862286229,19.2339855985599,102.953735373537,Electric,Yes,Automatic,No,10.3481652939696,74.8961656165617,136.067686768677,Sport,Japan,2019.63805580558,,Spoke,Air,Disc,3.06874862445151,165.468656973697,3.73075254109568,—,33354.8424842484,—,12,Double,—,—,—,—,—,16.6,—,Manual,—,—,TW,5/11/2021,11.25486111,105.666666666667,—,Underseat compartment,113.5,7/2/2021
N459,TVS,Apache RR 310,BTO Kit,2022,-71675.8352294744,263.182966005975,10.731295289529,19.2208652265227,102.96204020402,Electric,Yes,Automatic,Yes,10.3436067662791,74.8256165616562,136.093435343534,Commuter,India,2019.63580558056,,Spoke,Air,Disc,3.06815696249009,165.606201949196,3.72804485862403,—,33449.1509150915,—,-10,double,—,—,—,—,—,—,—,Manual,—,—,TW,5/12/2021,—,—,—,Yes,116,—
D460,BMW,G 310 R,ABS,2021,-72578.4732045364,262.887943805931,10.724704350435,19.2077448544855,102.970345034503,Electric,Yes,Automatic,No,10.3390482385886,74.7550675067507,136.119183918392,Adventure,Japan,2019.63355535554,,Spoke,Air,Drum,3.06756530052866,165.743746924695,3.72533717615239,—,33543.4593459346,—,—,—,—,—,—,—,—,5.%18,—,Manual,-1876.95,—,TW,5/13/2021,,10/7:16,—,No,118.5,6/12/2021
O461,Hero,Splendor Plus,i3S,2019,-73481.1111795994,262.592921605888,10.7181134113411,19.1946244824483,102.978649864986,Electric,Yes,Automatic,No,10.3344897108982,74.6845184518452,136.144932493249,Sport,Japan,2019.63130513051,,Alloy,Oil,Drum,3.06697363856723,165.881291900194,3.72262949368075,—,33637.7677767776,—,,,—,—,—,—,—,—,—,Manual,-2031.6,—,TW,5/14/2021,3:05,—,—,—,—,6/13/2021
